7 73 69
34 94 12
47 14 73
47 34 88
6 8 63
11 99 54
70 58 12
36 40 91
68 25 89
70 22 29
27 76 40
27 20 42
79 23 84
83 9 87
50 19 32
56 61 76
25 70 90
58 91 51
74 82 72
78 86 24
88 75 7
6 55 42
11 9 6
25 78 73
9 24 56
14 33 25
87 43 12
47 4 70
34 82 33
86 80 7
42 53 84
96 28 46
57 41 36
31 66 69
81 20 42
34 59 89
70 18 85
63 67 81
42 82 32
88 74 58
44 45 10
22 59 20
14 83 26
46 84 96
99 28 82
4 43 40
75 6 51
27 71 39
7 84 42
79 26 54
15 54 20
73 96 76
77 74 78
16 95 60
26 54 63
7 83 48
31 88 56
6 26 45
65 50 35
76 80 14
18 93 16
59 48 34
68 6 66
47 55 75
90 7 87
17 1 26
2 64 40
76 37 94
37 10 90
51 68 38
79 65 37
62 60 72
36 23 16
92 84 39
60 14 35
50 26 75
82 39 34
18 41 97
21 43 94
18 94 16
90 68 1
9 65 96
78 49 31
83 56 30
6 67 72
75 86 8
89 82 62
71 10 74
86 49 50
30 35 87
14 95 12
2 51 80
62 87 57
99 68 94
87 51 90
87 59 53
15 14 99
84 99 96
60 28 8
34 35 13
99 42 10
39 26 5
64 50 14
64 11 99
82 4 37
92 76 12
8 56 17
48 9 38
45 88 14
30 93 29
24 60 80
36 8 26
79 70 30
77 67 46
29 95 91
37 40 7
89 11 43
21 84 37
26 97 46
32 90 67
49 84 95
31 66 64
24 16 26
6 10 79
15 38 74
62 20 10
12 24 3
49 97 20
22 43 85
73 95 8
45 10 96
10 52 26
25 96 42
9 22 18
65 70 64
85 57 28
40 73 37
43 35 31
57 9 6
53 48 49
3 60 23
19 66 64
7 87 78
92 57 45
35 95 80
7 3 82
4 94 90
65 36 94
6 67 72
56 54 38
11 86 41
75 30 76
57 76 4
33 91 20
33 6 59
46 67 55
10 93 65
62 20 31
43 29 69
77 54 4
22 36 96
25 52 90
13 9 21
5 78 3
14 6 34
93 83 14
6 83 68
51 69 87
39 68 44
73 24 78
17 73 81
33 46 2
97 88 27
38 55 91
11 66 18
90 72 41
78 38 17
50 19 87
18 26 17
90 13 85
97 92 43
18 96 88
93 83 89
15 16 71
42 20 76
26 43 7
33 11 87
46 44 45
43 12 76
51 53 80
9 36 69
27 75 81
85 77 46
54 3 16
93 10 60
18 1 22
84 64 15
56 89 18
10 24 32
2 9 20
6 27 87
2 18 54
33 1 73
70 92 14
67 16 78
28 5 76
34 1 10
86 15 59
33 95 8
86 45 74
89 48 10
39 96 21
73 49 22
79 31 34
23 92 99
75 74 35
90 87 74
42 29 70
81 26 35
53 7 76
89 25 64
55 86 66
50 11 97
67 13 2
66 17 77
12 43 45
90 65 70
13 87 34
55 5 75
36 61 71
8 77 9
51 30 82
79 82 93
29 93 4
39 15 42
99 31 9
51 37 45
97 20 1
86 33 49
93 79 84
52 93 80
89 9 5
68 25 4
4 94 73
32 59 12
